EV_D0	EV_D1	EV_D3	EV_D5	EV_D7	EV_D9	EV_D11	EV_D12	EV_D14	EV_D16	EV_D18	EV_D20	EV_D22	EV_D24	EV_D26	EV_D28	EV_D30
"x1"	0.0408381168811257	-0.309616480047871	0.179224911792766	-0.00885357283777594	0.0255823136068606	0.0294097147061496	0.202352994587557	0.17541060200476	0.300174611187208	0.302007111004407	0.0870368334577063	0.148370917941355	-2.19694889142097	0.335605368867574	0.675924132892987	-0.41333700777834	0.426818323154502
"x2"	0.0862524632040054	0.0960362691808903	-0.424631481254441	-0.52607026902525	-0.119957498326025	-0.266887664450261	-0.524596937066992	-1.6974637637216	-0.748342472215358	1.50798040553071	0.00630221229627304	0.383170745017893	0.413026608247793	0.170244122648211	0.534471361253004	0.726261816837288	0.38420408184387
"x3"	-0.0660922758896509	-0.162984702979364	-0.0312450879038822	-0.0799543028195146	-0.100256347149723	-0.118055162100476	0.165128094032513	0.140646439314675	0.244389156233221	0.268180171166509	0.294876770889565	0.171086948937345	0.491638249310161	0.437231038114615	-2.67285118281022	0.550962952091427	0.467299241562831
"x4"	0.31142065573564	0.30684594580847	0.100886080843516	0.0430003823571366	0.00774714968152758	-0.155243696109364	0.18493518020322	-0.175829250289437	0.0794019616009934	-0.00465520429158227	-0.465568623357906	1.356160247925	-0.783452853458456	-0.873351727800699	-0.929687483701501	-0.407046970253643	1.4044382051071
"x5"	0.345990921591716	0.517413459090273	0.188824669983124	0.116200670216256	0.328595622690172	-0.114003330029837	-0.104486517725353	-0.754217730941782	-0.237128311815766	-0.164174946552434	0.501213310671645	-0.660859364527836	0.800242543640986	-0.899313107606615	-1.00459497647003	-0.315826325445641	1.45612341323112
"x6"	-0.0593466964227212	-0.498886588306322	0.203718343786935	0.0862276215960049	-0.401954861858511	0.36554455783393	0.531922029920901	0.142344928887571	0.500172746547094	0.329228217151099	-0.318792628880026	1.05951479421421	1.26381058074978	-0.829128402585459	-0.766540773709319	-0.80106477340324	-0.806769095521903
"x7"	-0.154129405266076	-0.169017901516923	0.0944840450611918	0.0509956700642091	-0.101590979990058	0.132976018973838	0.316976644682944	0.108817585381568	0.338393777681282	0.404757752130624	0.280124177974711	0.132005928298759	-0.139440934793462	0.40409492752553	0.554826125054974	0.217206290397444	-2.47147972166055
"x8"	0.0976719182961825	-0.785316129761024	0.555328934250186	0.575075844263354	0.956627715084648	0.560481402312071	0.770776980413848	0.536937972378377	0.70749284675914	0.943371914912101	-0.421501124654205	-0.645096445870017	-0.815091584745103	-0.847514373028995	-0.824651221623632	-0.51964824589831	-0.844946403088632
"x9"	0.356975560857593	0.180909793091085	0.0315427245864994	-0.0956357262009089	0.306940663264714	0.0808104795201498	-0.219382793033081	-0.855802065602785	-0.359284949103877	-0.286641793843977	-0.748798329772606	0.263533498299273	1.09785164281765	-1.05299303874212	-0.923959698122962	1.20840480659557	1.01552922538977
"x10"	0.0866075949521668	0.168244675957213	-0.402663773366401	-0.447262094863349	-0.0252998882345141	-0.352235347857649	-0.584107149295288	-1.53700464540759	-0.690762558745026	-0.476973251300293	0.0873794143809007	0.366671614144226	2.09005139304469	0.267387558361346	0.410355555343789	0.737171993539029	0.302438909346746
"x11"	-0.113864680092988	0.119543044809112	-0.607947102421347	-0.794661538458284	-0.282275028073915	-0.557540313725794	-0.455511054153655	1.0764948469444	-0.694659082478336	-0.622047686397418	0.040651261666221	0.443775655322717	0.283640421085979	0.321557588004903	0.479628872480625	0.931381028010447	0.431833767477342
"x12"	0.0293788450285816	-0.109771062846314	0.0799123939116979	0.12170195156579	0.0710961847460423	0.156493990429463	0.477430683027813	0.217809484160258	0.459477509560053	0.492341301001368	0.308176485486521	0.380850947801494	0.397003427119578	-1.84083150018325	0.761460832437577	-0.269064067238493	-1.73346740600816
"x13"	0.0219692891026786	-0.166706260532712	-0.401522762496981	-0.496053760555818	-0.309140204893918	-0.34619784170313	-0.426672738368188	-1.01212141049263	-0.438155722171475	-0.342838090755589	-0.049041122126232	-0.640624074191945	0.661435242393016	1.10938825497634	0.953856081606824	1.22497756607894	0.657447554130809
